,id,titulo do artigo,abstract,classificacao_llm_final
10,11,Climate policy integration: taking advantage of policy windows? An analysis of the energy and environment sectors in Mexico (1997–2018),"This study addresses the problem of defining the scope and substance of climate adaptation policy, which operates with comprehensive objectives and engages with multiple meanings, policy tools, and sectors to allow societies to cope with the effects of climate change. Analyzing the design of Brazil’s National Adaptation Plan sheds light on the main goals and tools of the country’s adaptation strategy for the rural sector and its divergent policy approaches at distinct subnational levels. This study shows that the government’s ambition for promoting change drove the design process by mainstreaming climate adaptation goals into well-established development agendas, but it resulted in the layering of existing sector-based instruments. The Plan became a mix of loosely coordinated and inconsistent strategies, lacking a common implementation approach. Therefore, this analysis provides insight into the politics of adaptation policies and the challenges of promoting policy integration in this field.",Climate Change
11,12,Unpacking the process: how agenda-setting theory explains the case of creating large scale marine protected areas in Brazil,"In 2018, Brazil announced the designation of two new Large Scale Marine Protected Areas (LSMPAs), resulting in an increase in protection from 1.5% to 26.36% of the country's maritime territory. We employ an agenda-setting theory to analyze the Brazilian LSMPAs as a causal case study, unpacking the factors that led to their creation, and providing insights about the process of reaching global targets. Drawing on a detailed literature analysis and interviews with key stakeholders, we argue that reaching an international goal is a political commitment which emerges within a 'policy window.' Additionally, we offer seven lessons that can improve the chances of reaching an international goal and shifting the agenda: (1) attract media attention; (2) make a formal commitment; (3) launch a movement or a campaign to attain the goal; (4) make the goals legally binding; (5) propose general international goals; (6) diffuse ideas and (7) form support groups.",Marine/Ocean Governance
12,13,Is there room for a circular economy “from below”? Reflections on privatisation and commoning of circular waste loops in Argentina,"The Circular Economy (CE) narrative is spreading at a global scale, addressing different actors and settings, and thus facing new theoretical and empirical challenges. However, CE initiatives in the Global South have tended to extrapolate developed countries’ perspectives, as if the CE provides a global and universal benchmark to converge to. Drawing from a political ecology of waste in Latin America and building on empirical data derived from two case studies of recycling initiatives in Argentina, we focus on how the issue of formalisation of previously informal recyclers could be framed within the CE. Then, we outline two contrasting models, the privatisation of informality on the one hand and the formalisation of commoning on the other. Thus we highlight the extent to which the CE narrative could be used to overlook power relations dynamics, or, to what extent it could be reframed to foster a CE “from below” that could provide a clear path to achieve greater levels of equity and social justice. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",Energy Transition
13,14,Green Fences for Buenos Aires: Implementing Green Infrastructure for (More than) Air Quality,"Schoolyards in North America and Europe are increasingly using green fences as one measure to protect vulnerable populations from localised air pollution. This paper assesses the possibilities and limits for mobilising this format of site-specific green infrastructure in cities in low-and middle-income countries beset by air pollution and multiple other socio-environmental challenges, and particularly questions the definition of green fences as a green infrastructure for air quality (GI4AQ). We applied several qualitative and action research methods to the question of green fence implementation in Buenos Aires, Argentina—a Latin American city with weak air-quality policies, limited green infrastructure, and little experience with nature-based solutions. Firstly, we conducted a literature review of the role that urban vegetation and ecosystem services may play in AQ policy and the implementation barriers to such approaches globally and in the city. Secondly, we planned, designed, constructed, maintained, and evaluated a pilot green fence in a school playground. Thirdly, we carried out supplementary interviews with stakeholders and expert informants and compiled project members’ narratives to respectively characterise the barriers that the project encountered and delineate its attributes based on the associated actions that we took to overcome such barriers to implementation and complete the pilot. Our findings identify multiple barriers across seven known categories (institutional, engagement, political, socio-cultural, built environment and natural landscape, knowledge base and financial) and highlight examples not previously considered in the extant international literature. Furthermore, learning from this experience, the paper proposes an expanded model of green infrastructure for air quality plus multi-dimensional co-benefits (GI4AQ+) to increase implementation chances by attending to local needs and priorities. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Air Pollution
14,15,Bolsonaro's far-right populist environmental and climate diplomacy,"Brazilian diplomacy has historically used the environmental agenda as a soft-power tool, particularly regarding climate change, but this situation has drastically changed under Jair Bolsonaro's administration. Imitating other far-right populists and their antienvironmental rhetoric, especially Donald Trump's, Bolsonaro attempted to use the topic to inflame his domestic supporters against international players. On the one hand, this strategy weakened Brazilian influence in bilateral and multilateral forums; on the other, dismantling environmental policies and governance structures had substantial consequences, especially in deforestation rates and attacks on traditional communities. This article analyzes the Bolsonaro administration's stand on the environment and climate issues and the repercussions of its policies and rhetoric in Brazil's domestic and foreign scenarios. We conclude that changes in the international context, especially after Trump's electoral defeat in the United States, led to a softening of Bolsonaro's international environmental and climate discourse, with no substantial policy changes internally. Although climate denialism is a centerpiece of the discourse of far-right populists, this empirical analysis indicates that, in the case of Brazil, this narrative did not bring significant results to Bolsonaro in terms of support or international relevance.",Climate Change
15,16,"Entre la economía y la política, factores que activan coaliciones. Aportes teóricos a la luz de la adecuación e implementación de una política ambiental nacional en tres provincias argentinas (2008-2019)","This article argues that the activation and action of coalitions are relevant to understand the processes of design and enforcement of public policies. However, coalitions do not always activate or take the same form. According to this analytical dilemma, the question that guides this article is: What are the factors that activate coalitions and affect the type of coalition built? This study is the product of twenty interviews with key actors and the analysis of public documents prepared by environmental organizations, subnational state organizations, and media. Morover, it compares the design and enforcement of an environmental policy in three Argentine provinces. As a result, it was found that the activation of the coalitions depends on a structural-economic factor called the dispute over natural resources, while the type of coalition depends on the degree of opening of the political system.",Energy Transition
16,17,Gradual and Transformative Institutional Change: the influence of stakeholders and advocacy coalitions at the Belo Monte Hydroelectric power plant,"This work analyzes the performance of stakeholders and advocacy coalitions in processes of gradual institutional change based on the case study of the Belo Monte hydroelectric power plant. The methodology adopts content analysis, using shorthand notes of hearings held in the National Congress, and other publicly available documents. In-depth semi-structured interviews were also conducted, collecting data from individuals involved in the history of the power plant. The study allowed to characterize stakeholders pro or against the enterprise, observing their degree of influence and the role played. In addition, the work used the Advocacy Coalition Framework to verify how stakeholders formed three advocacy coalitions and exerted the strategies of institutional change ‘displacement,’ ‘conversion,’ and ‘layering’ following the gradual and transformative institutional change model. Empirical evidence indicates that the composition of coalition members may determine the type of institutional change and that institutional changes can also result from learning among coalitions, as the incorporation of socio-environmental considerations that have altered the original design of the hydroelectric power plant.",Energy Transition
17,18,The political impact of environmental mobilization: a theoretical discussion in the light of the Argentine case [Impacto político de la movilización ambiental: Una discusión conceptual a la luz del caso argentino],"Upon the third wave of democratization, environmental mobilization has increased throughout Latin America. In line with this process, the literature has analyzed different aspects of environmental mobilization, such as the types of groups involved and the resources mobilized. Yet, less attention has been paid to the impacts of those mobilizations. So, we ask: what are the impacts of environmental mobilization and how can they be best understood? Based on a review of the literature and on our own studies on Argentina, we build a novel typology to explain the connection between the political impacts of environmental mobilization and their concrete effects on the environment. We argue that the best way to understand those impacts is to analyze the state decisions that respond to such a mobilization, focusing on two key dimensions: the spatial and the temporal scope. We illustrate our typology with the analysis of four different environmental areas in Argentina. © 2021 CALACS.",Energy Transition
18,19,Dealing with cross-sectoral policy problems: An advocacy coalition approach to climate and water policy integration in Northeast Brazil,"The governance of several cross-cutting challenges, such as food security, climate change, and sustainable development, calls for integrative policy approaches. However, eforts to better theorize the drivers of integration beyond listing explanatory factors remain weak. Viewing integration as a process of policy change for dealing with complex problems, this study argues that policy integration analysis can beneft from an advocacy coalition approach (ACF) to address this theoretical gap. It illustrates the analytical framework by empirically investigating the drivers of policy (dis)integration in Brazil’s subnational water policy introduced in the 2010s. The level of confict between coalitions, adjustment of policy beliefs, coordination within and across coalitions, and existence of venues for interaction and policy-oriented learning were presented as factors that can foster or hinder the integration of public policies. Moreover, the study discusses the potential to acknowledge in ACF the mechanisms for coordinating policy actors and instruments, which would facilitate the analysis of the policy processes of cooperation. It also demonstrates that recent droughts in Northeast Brazil have been increasingly related to the local impacts of climate change, contributing to reframing water management as a cross-sectoral climate and water governance issue. The analysis was based on a literature review, semi-structured interviews, and social network analysis.",Climate Change
19,20,Multilevel business power in environmental politics: the avocado boom and water scarcity in Chile,"The production and export of avocados in Chile have experienced explosive growth since the 1990s, severely threatening local communities' human right to water. Despite contentious activities and protest, there has been scant reaction from public authorities and policy continues to strongly support avocado exports. We explain this by analyzing the role that business plays in water politics and the different means it has to counter the search for political influence by aggrieved communities. We argue that the outcome is a product of the multilevel deployment of business power. Based on quantitative and qualitative data, we use process tracing methods to unveil business power mechanisms at the local, national and international levels and their connections. We contribute to the cross-fertilization of business power analyses in comparative political economy and environmental politics, and to the understanding of the under-researched multilevel dynamics of business power and the related politics of scale shift.",Freshwater Governance
20,21,Indigenous territories and governance of forest restoration in the Xingu River (Brazil),"During the early 2000s, indigenous and non-indigenous peoples inhabiting the headwaters of the Xingu River (Mato Grosso state, Brazil) engaged in a collective decision to undertake the Y Ikatu Xingu Campaign, a social phenomenon and forum for the restoration and protection of Xingu’s headwaters and riparian forests—a common-pool resource shared by indigenous, farmers, and urban populations in the region. These areas have been significantly deforested over the last 50 years due to public policies and land privatization aiming at economic development, agricultural, and agribusiness expansion in Central and Amazonian Brazil. These political and economic drivers contributed to the conversion of five million hectares of Seasonal Evergreen Forests and Cerrados (Brazilian savanna) into agricultural land. To reverse the damaging trends threatening the future of the Xingu River and to promote common benefits to indigenous and non-indigenous peoples, the Campaign fostered the creation of the Xingu Seed Network to promote the exchange and commercialization of native seeds demanded by farmers and landholders for planting and restoring permanent preservation areas, such as riparian forests and vegetation associated with lakes and springs of the Suiá-Miçu River Basin. The aim of this study is to examine the role played by the Y Ikatu Campaign in the conservation of these common-pool resources—Xingu’s headwaters, riparian forests, and rivers—and in mobilizing heterogeneous social groups living in this region to engage in the protection of the watershed. Our analysis focuses on socially and culturally diverse inhabitants (indigenous and farmers) of the Suiá-Miçu River Basin, who are searching for innovative technologies for the recovery of riparian areas and for income generation for local communities. The Institutional Analysis and Development framework was adopted as an approach for understanding interactions of multiple social agents, governmental and non-governmental organizations, engaged in the process of restoration and protection of common resources. Spatial and temporal land-cover changes analysis of the Suiá-Miçu River Basin show an increase in deforestation during the past 40 years, primarily for soybean farming and pastures. We showed that indigenous people have a fundamental role in questioning and advancing the outcomes of restoration efforts, and monitoring environmental impact on water quality of rivers, as well as on conditions of forests and other ecosystems surrounding indigenous lands. We discuss the perspectives of Kĩsêdjê indigenous inhabitants on the environmental governance related to restoration efforts and monitoring, and their concerns with a dynamic scenario of agribusiness expansion in the Xingu River Headwaters region.",Forests and Land Use
21,22,"Environmental governance under Bolsonaro: dismantling institutions, curtailing participation, delegitimising opposition","Tensions concerning environmental governance have increased in Brazil since the far-right came to power in 2016. We offer insight into this process by analysing the first two years of Jair Bolsonaro's (2019-ongoing) environmental policies-namely, how Brazil's environmental protection arrangements are being dismantled. We find that the Bolsonaro administration centralises environmental governance in Brazil through complementary authoritarian and populist means. First in restricting participatory decision-making spaces such as the National Environmental Council (Conama) and the National Council of the Legal Amazon (CNAL), and, second, by attacking indigenous and traditional peoples, NGOs, scientists, and other environmental defenders. To illustrate the authoritarian dimension of Bolsonaro's environmental governance, we carry out a political-institutional analysis of contemporary Brazilian environmental politics and then exemplify the ways and extent to which attacks against environmental defenders is a constituent part of Bolsonaro's environmental populism. We hold that such attacks are not merely rhetorical but a political tactic to legitimise Bolsonaro's authoritarian environmental governance in the promotion of 'total extractivism' while maintaining a populist appeal.",Multi-Theme
22,23,"Institutions, Networks and Activism Inside the State: Women's Health and Environmental Policy in Brazil","This article examines institutional activism between 2011 and 2018 in two Brazilian government programs, 'Green Grants' and the 'Stork Network'. Institutional activism is defined as collective action in the defense of contentious causes conducted within the boundaries of state institutions. The two policies were designed and implemented by bureaucrats committed to social movement causes, environmentalism and women's health, respectively. The environmentalist bureaucrats were mostly permanent public employees with few ties to movement networks, while the women's health group included mostly temporary employees with long histories of civil society activism. I argue that diverse locations in state institutions and movement networks gave these groups access to different combinations of institutional and relational resources. In dialogue with theories of situated agency and activist strategy, I show how those differences both led actors to engage in different kinds of strategies and influenced the way those strategies changed as political conditions became increasingly hostile.",Energy Transition
23,24,Political-relational capacity building for federative coordination in the Water for All Program: analysis from the neoinstitutionalist perspective,"Research objective: To analyze the differences in trajectories in the construction of relational capacities existing in the two main partner organizations in the execution of the Water for All Program (APT), and their relationship in the institutional arrangement for federative coordination. Theoretical framework: The theoretical approach of historical neoinstitutionalism was used in order to contribute to the understanding of how the institutional arrangements of federative coordination are organized and related in the construction of political-relational capacities in a complex public policy. Methodology: The qualitative research used data sources such as bibliographic and documentary survey, in addition to the participant observation technique. This is a case study. The data obtained were analyzed using the content analysis technique. The analytical categories used were intersectoral, federative relations, social participation and territoriality. Results: The Ministry of National Integration (MI) and the Ministry of Social Development and Fight against Hunger (MDS), had trajectories of building different relational capacities, as can be seen in the formation of the respective institutional arrangements for federative coordination and in relation to the society. Unlike the MI, there was an institutional change in social policy under the responsibility of the MDS, with the critical moment being the institutionalization of the Unified Social Assistance System (SUAS) with federative coordination mechanisms and a continuous flow of resources. Positive and learning policy feedback occurred in the federative relationship and with civil society. Originality: The analysis of the national experience of the past twenty years on the topic of coordination still has gaps. Considering the different analytical dimensions together, it allowed us to understand the specifics of each institutional arrangement and the extent to which they advance in terms of coordinating different actors in the decision-making processes. Theoretical and practical contributions:This work contributed to a better understanding of the challenges of federative coordination of intersectoral public policies to combat poverty in a complex institutional environment. The research also adds to the knowledge base of the literature on institutional arrangements by bringing the case study of a program linked to Regional Policy in Brazil, until then little studied under this theoretical approach.",Freshwater Governance
24,25,Institutional Innovations in Mining Contexts: the Experience of Community Water Monitoring in Argentina and Peru,"In the context of institutional transformations that resulted from the mining expansion in Latin America, this article explores the emergence of a social institutional innovation: community based water monitoring. From a qualitative perspective the emergence of a new community form of environmental control in Argentina and Peru is analyzed. The article contributes to the debate on institutional innovation processes in mining contexts, but focuses on an underexplored aspect, social institutional innovations and their connection with the lack of legitimacy of state environmental institutions. The analysis shows that through a process of re-politicization of pre-existing instruments, community actors design and implement alternative schemes for environmental control.",Mining
25,26,The politics of climate policy innovation: the case of the Argentine carbon tax,"This contribution analyzes the policymaking process of the carbon tax in Argentina based on the multiple streams approach (MSA). The study shows how policy entrepreneurs took advantage of a general tax reform bill to promote the idea of a carbon tax. Mainly driven by international emulation and reputational gains concerns, the carbon tax proposal successfully advanced through the government ' s internal drafting process of the Tax Reform Bill, however, it faced strong opposition during the legislative decision-making process, which resulted in the adoption of a weaker carbon tax. From a climate politics perspective, the Argentine carbon tax case suggests the political limitations of an over-reliance on international reputation arguments to advance climate policy innovation. In relation to the MSA, the study highlights how policy windows can shape processes of policy innovation and the analytical convenience of differentiating the coupling processes between the agenda-setting and decision-making stages.",Climate Change
26,27,AMLO's populism in Mexico and the framing of the extractivist agenda: The construction of the hegemony of the people without the indigenous voices,"In Latin America, the relationship between populism and environmentalism is intrinsically linked to extractivism. The commodities boom that the region experienced during the early 2000s was accompanied by the resurgence of populism in the region and the emergence of socio-environmental conflicts led by indigenous environmental movements. Despite the fact that Latin American populism supposedly represents unprotected groups, there has been a general failure on the part of these governments to incorporate the visions and demands of the indigenous peoples. Andres Manuel Lopez Obrador (AMLO) assumed Mexico's presidency in 2018. In this context, his reliance on extractive industries as a lever for socioeconomic development and criticism towards neoliberalism has led many analysts to place him under the populist umbrella. AMLO has developed a discursive strategy consisting of dividing the political field into two antagonistic parts: 'the people', whose demands and interests are supposedly defended by his popular project and 'the conservatives', the corrupt elite. This article explores the way in which AMLO has reacted to the indigenous environmental movements and his discursive strategies to face the contradiction of constructing the hegemony of the people without incorporating indigenous voices. The article develops a frame analysis applied to AMLO's discourse on a large-scale energy project: Proyecto Integral Morelos (PIM). It concludes that, as with other populists in the region, AMLO has been shown to be incapable of articulating the indigenous environmental opposition into his national project.",Energy Transition
27,28,"Study of self-perception of small-scale farmers. The case of huichapan hidalgo, mexico; [Estudio de autopercepción de pequeños productores agrícolas. El caso de Huichapan Hidalgo, México]","In recent years, small-scale agricultural producers have experienced strong changes that have prevented them from carrying out their agricultural activities adequately; worse still, public policies have driven them to lag behind and abandon their lands. This research is based on a study of self-perception, under the narrative of how peasants conceive themselves in the face of changes due to neoliberalism and the reasons for their persistence to continue working in the field in defense of their territory. As a result, it is found that the role of small-scale farmers is essential for local and regional development since there are more social, cultural, and environmental functions that they fulfill, beyond the merely economic ones. © 2021 Societa Editrice il Mulino. All rights reserved.",Forests and Land Use
28,29,Ecologists by default? How the indigenous movement in Ecuador became protector of nature,"Since several decades, indigenous peoples are seen as stewards of nature. This is not only an attribution by Western/Northern academics but rather the result of conscious political choices undertaken by organizations related to those peoples. From a certain moment on, some indigenous organizations integrated nature-related contents into their functioning and demands. In the Ecuadorian case, it is easily traceable when ecology entered the discourse of the indigenous movement and how it developed. Ecology and its connection to well-known concepts such as Buen Vivir/Sumak Kawsay is a main reasons for the success of the movement. This article will analyse the ecologization of the movement and its discourse as a particularly effective way of self-inclusion of the excluded and the subsequent institutionalization both on the level of organizations and the level of discourse. This will make possible to understand the moment of main impact of ecological contents–for instance in the 1990s–and demands and the moments of systematic depoliticization of those demands–especially, since 2008. © 2019, © 2019 The European Association for the Advancement of the Social Sciences.",Forests and Land Use
29,30,The politics of environmental market instruments: Coalition building and knowledge filtering in the regulation of forest certificates trading in Brazil,"Market instruments for environmental governance have a foundation in an economic theorythat claims to be universal and atemporal, but their materialization in practice always takes place in specific socioeconomic and political contexts. The Brazilian trade in forest certificates (CRA) is a new market instrument that allows farmers that have deforested illegally prior to 2008 to become compliant by acquiring certificates from other farmers that conserve a forest area beyond legal requirements. Even though the CRA market has been praised as an innovative environmental policy, it is still unclear whether it will be implemented even after more than two decades of political debate, congressional approval of legislation and substantial investments in new supporting systems. This research paper aims to analyze the materialization of this market by reconstructing how policy participants form advocacy coalitions (i.e. environmental protection, market viability and agricultural consolidation) to advance their interests. Our results show that advocacy coalitions filter (i.e. absorb, reject or transform) new ideas, experiences and knowledge in order to influence the regulations for forest certificate trading. In doing so, they often combine positions, form new alliances and merge with other advocacy coalitions in accordance with the interests of their constituents. These fluid allegiances within and between coalitions explain why market materialization remains ambiguous and unlikely to become operational in the near future. ",Forests and Land Use
30,31,The discourse and coordination among advocacy coalitions: the case of Belo Monte,"Purpose - This study aims to analyze the use of discourse to solve issues related to coordination between advocacy coalitions in processes of gradual and transformative institutional change related to public policies. Design/methodology/approach - Theoretical background is based on the advocacy coalition framework (ACF), new discursive institutionalism and critical discourse analysis theories. The research examines shorthand notes of public hearings held in the Brazilian Chamber of Deputies and the Federal Senate between 1999 and 2012, carrying out a case study on Belo Monte hydroelectric power plant. The speech extracts were categorized according to the modes of operation of ideology and typical strategies of symbolic construction proposed by Thompson (1995). Findings - The results suggest that the discourse can be an instrument of internal coordination and between coalitions that share beliefs about a policy, as in the case of Belo Monte. Potentially existing coalitions define their identities and set positions on controversial issues, aligning interests and expectations. In the case studied, the modes of operation of ideology verified as instruments of the coalitions were dissimulation, reification, fragmentation, unification and legitimation. Research limitations/implications - The paper represents a unique analysis of the modes of operation of ideology (Thompson, 1999) in the case of Belo Monte. In addition, the paper aims to contribute to the New Discursive Institutionalism and to the ACF when it uses the critical discourse analysis to articulate a method to analyze the use of the Discourse by the coalitions. In fact, such an approach integrating the ACF, the New Discursive Institutionalism and the critical discourse analysis is something original. Finally, it also addresses a gap in ACF: issues related to advocacy coalition coordination. Practical implications - Attentive readers linked to organizations working on infrastructure and environmental policies can benefit from the results by envisaging the deliberate manipulation of typical symbolic construction strategies and general modes of operation of ideology. Social implications - The study sheds light on the daily and behind-the-scenes disputes among stakeholders who are interested in a certain public policy. It may draw attention to the acres and professional use of the shorthand notes of the hearings held at the National Congress. Originality/value - This paper aims to fill a gap pointed out by Jenkins-Smith et al (2014) regarding problems of coordination of advocacy coalitions. In addition, it innovates by using critical discourse analysis as a methodological reference in ACF empirical studies. In addition. this work continues a trajectory of two other previously published studies dealing with the same phenomenon: a theoretical essay and a case study.",Forests and Land Use
