id,busca,authors,authors full name,empirico,pp ambiental policy process,theoretical framework,pergunta de pesquisa,inferencia causal,desenho pesquisa,met,ciclo,tema,tematica geral,tematica especifica,metodologia adotada,local_backup,local_afiliacao,local_pesquisado,afiliacao,departamento,titulo do artigo,titulo da fonte,idioma,tipo do documento,authors keywords,keywords plus,abstract,enderecos,Reprint Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,cited reference count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,Publication Year,Volume,Issue,Start Page,End Page,DOI,DOI Link,WoS Categories,Web of Science Index,Research Areas,Web of Science Record
23,environmental politics ou política ambiental,"Abers, RN","Abers, Rebecca Neaera",1,1,ACF,1,1,2,2,3,5,,Ativismo institucional em programas do governo brasileiro ,,Brasil,Brasil,Brasil,Universidade de Brasília,Departamento de Ciência Política,"Institutions, Networks and Activism Inside the State: Women's Health and Environmental Policy in Brazil",CRITICAL POLICY STUDIES,English,Article,Activism; policy; bureaucrats; women's health; environmentalism; social movements,,"This article examines institutional activism between 2011 and 2018 in two Brazilian government programs, 'Green Grants' and the 'Stork Network'. Institutional activism is defined as collective action in the defense of contentious causes conducted within the boundaries of state institutions. The two policies were designed and implemented by bureaucrats committed to social movement causes, environmentalism and women's health, respectively. The environmentalist bureaucrats were mostly permanent public employees with few ties to movement networks, while the women's health group included mostly temporary employees with long histories of civil society activism. I argue that diverse locations in state institutions and movement networks gave these groups access to different combinations of institutional and relational resources. In dialogue with theories of situated agency and activist strategy, I show how those differences both led actors to engage in different kinds of strategies and influenced the way those strategies changed as political conditions became increasingly hostile.","[Abers, Rebecca Neaera] Univ Brasilia, Inst Polit Sci, Brasilia, DF, Brazil","Abers, RN (autor correspondente), Predio IPOL IREL, Campus Univ Darcy Ribeiro, BR-70910000 Brasilia, DF, Brazil.",,"Abers, Rebecca/0000-0002-4816-9345",Brazilian National Council for Scientific and Technological Development (CNPq) [448506/2014-9]; Brazil's National School of Public Administration (ENAP),Brazilian National Council for Scientific and Technological Development (CNPq)(Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ)); Brazil's National School of Public Administration (ENAP),"I thank the Brazilian National Council for Scientific and Technological Development (CNPq), Grant Number 448506/2014-9 and a scholarship from Brazil's National School of Public Administration (ENAP) for support for the research.",53,4,4,2,9,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",1946-0171,1946-018X,2.021,15,3,330,349,10.1080/19460171.2020.1860782,http://dx.doi.org/10.1080/19460171.2020.1860782,Political Science; Public Administration,Social Science Citation Index (SSCI),Government & Law; Public Administration,View Full Record in Web of Science
24,01/ago.,"Ramagem, RD; Gomes, RC","Ramagem, Ricardo Dias; Gomes, Ricardo Correa",1,1,IAD,1,1,1,2,5,8,,,,Brasil,Brasil,Brasil,Universidade de Brasília,Programa de Pós-Graduação em Administração ,Political-relational capacity building for federative coordination in the Water for All Program: analysis from the neoinstitutionalist perspective,ADMINISTRACAO PUBLICA E GESTAO SOCIAL,Portuguese,Article,Relational capabilities; Federative Coordination; Institutional Arrangements; Water for All Program,POLICIES,"Research objective: To analyze the differences in trajectories in the construction of relational capacities existing in the two main partner organizations in the execution of the Water for All Program (APT), and their relationship in the institutional arrangement for federative coordination. Theoretical framework: The theoretical approach of historical neoinstitutionalism was used in order to contribute to the understanding of how the institutional arrangements of federative coordination are organized and related in the construction of political-relational capacities in a complex public policy. Methodology: The qualitative research used data sources such as bibliographic and documentary survey, in addition to the participant observation technique. This is a case study. The data obtained were analyzed using the content analysis technique. The analytical categories used were intersectoral, federative relations, social participation and territoriality. Results: The Ministry of National Integration (MI) and the Ministry of Social Development and Fight against Hunger (MDS), had trajectories of building different relational capacities, as can be seen in the formation of the respective institutional arrangements for federative coordination and in relation to the society. Unlike the MI, there was an institutional change in social policy under the responsibility of the MDS, with the critical moment being the institutionalization of the Unified Social Assistance System (SUAS) with federative coordination mechanisms and a continuous flow of resources. Positive and learning policy feedback occurred in the federative relationship and with civil society. Originality: The analysis of the national experience of the past twenty years on the topic of coordination still has gaps. Considering the different analytical dimensions together, it allowed us to understand the specifics of each institutional arrangement and the extent to which they advance in terms of coordinating different actors in the decision-making processes. Theoretical and practical contributions:This work contributed to a better understanding of the challenges of federative coordination of intersectoral public policies to combat poverty in a complex institutional environment. The research also adds to the knowledge base of the literature on institutional arrangements by bringing the case study of a program linked to Regional Policy in Brazil, until then little studied under this theoretical approach.","[Ramagem, Ricardo Dias] Univ Brasilia PPGA UnB, Programa Posgrad Adm, Brasilia, DF, Brazil; [Gomes, Ricardo Correa] Escola Adm Empresas Fundacao Getulio Vargas EAESP, Rio De Janeiro, RJ, Brazil","Ramagem, RD (corresponding author), Univ Brasilia PPGA UnB, Programa Posgrad Adm, Brasilia, DF, Brazil.",,,,,,55,0,0,0,2,UNIV FEDERAL VICOSA,VICOSA,"CAIXA POSTAL 270, VICOSA, MG CEP 36571-00, BRAZIL",2175-5787,,2.021,13,2,,,,,Public Administration,Emerging Sources Citation Index (ESCI),Public Administration,Web of Science Record
25,,"Godfrid, J; Damonte, G; Minchán, APL","Godfrid, Julieta; Damonte, Gerardo; Lopez Minchan, Ana Paula",1,1,IAD,1,1,2,2,5,8,,,,Chile,Chile,Argentina; Peru,Universidad de Playa Ancha; Pontificia Universidad Catolica del Peru; Pontificia Universidad Catolica del Peru,Departamento de Ciencias Sociales,Institutional Innovations in Mining Contexts: the Experience of Community Water Monitoring in Argentina and Peru,REVISTA DE CIENCIA POLITICA,English,Article,institutional innovation; mining; water monitoring; communities,ORGANIZATIONS,"In the context of institutional transformations that resulted from the mining expansion in Latin America, this article explores the emergence of a social institutional innovation: community based water monitoring. From a qualitative perspective the emergence of a new community form of environmental control in Argentina and Peru is analyzed. The article contributes to the debate on institutional innovation processes in mining contexts, but focuses on an underexplored aspect, social institutional innovations and their connection with the lack of legitimacy of state environmental institutions. The analysis shows that through a process of re-politicization of pre-existing instruments, community actors design and implement alternative schemes for environmental control.","[Godfrid, Julieta] Univ Playa Ancha, Ctr Estudios Avanzados, Valparaiso, Chile; [Damonte, Gerardo] Pontificia Univ Catolica Peru, Dept Ciencias Sociales, Lima, Peru; [Lopez Minchan, Ana Paula] Pontificia Univ Catolica Peru, Lima, Peru","Godfrid, J (corresponding author), Univ Playa Ancha, Ctr Estudios Avanzados, Valparaiso, Chile.","Damonte, Gerardo/AAB-1339-2021; Godfrid, Julieta/ITV-3867-2023","Damonte, Gerardo/0000-0002-0529-2124; Lopez Minchan, Ana Paula/0000-0003-2646-9125",,,,74,0,0,1,3,"PONTIFICIA UNIV CATOLICA CHILE, INST CIENCIA POLITICA",SANTIAGO,"AV VICUNA MACKENNA 4860, SANTIAGO, 00000, CHILE",0718-090X,,2.021,41,3,539,562,10.4067/S0718-090X2021005000121,http://dx.doi.org/10.4067/S0718-090X2021005000121,Political Science,Social Science Citation Index (SSCI),Government & Law,Web of Science Record
26,"""environment*"" AND ""advocacy coalition"" (All Fields) OR ""environment*"" AND ""institutional analysis"" (All Fields) OR ""environment*"" AND ""Equilibrium"" (All Fields) OR ""environment*"" AND ""multiple streams"" (All Fields) OR ""environment*"" AND ""narrative"" (All Fields) and 6.27 Political Science (Citation Topics Meso) and BRAZIL or CHILE or ARGENTINA or ECUADOR or PERU (Countries/Regions)","Ryan, Daniel; Micozzi, Mariana",,1,1,MSF,1,1,1,2,5,3,Formulação de política sobre o imosto de carbono,Processo de formulação de políticas de carbon tax na Argentina - Avalia como os empreendedores aproveitam um projeto de lei geral de reforma tributária para promover o imposto de carbono,,Argentina,Argentina,Argentina,Instituto Tecnológico de Buenos Aires,,The politics of climate policy innovation: the case of the Argentine carbon tax,ENVIRONMENTAL POLITICS,English,Article,Policy innovation; carbon tax; multiple streams; climate politics; climate policy; Argentina,,"This contribution analyzes the policymaking process of the carbon tax in Argentina based on the multiple streams approach (MSA). The study shows how policy entrepreneurs took advantage of a general tax reform bill to promote the idea of a carbon tax. Mainly driven by international emulation and reputational gains concerns, the carbon tax proposal successfully advanced through the government ' s internal drafting process of the Tax Reform Bill, however, it faced strong opposition during the legislative decision-making process, which resulted in the adoption of a weaker carbon tax. From a climate politics perspective, the Argentine carbon tax case suggests the political limitations of an over-reliance on international reputation arguments to advance climate policy innovation. In relation to the MSA, the study highlights how policy windows can shape processes of policy innovation and the analytical convenience of differentiating the coupling processes between the agenda-setting and decision-making stages.","[Ryan, Daniel] Inst Tecnol Buenos Aires ITBA, Dept Invest & Doctorado, Buenos Aires, DF, Argentina; [Micozzi, Mariana] Fac Latinoamer Ciencias Sociales FLACSO, Maestria Derecho & Econ Cambio Climatico, Buenos Aires, DF, Argentina",dryan@itba.edu.ar,,"Ryan, Daniel/0000-0003-4699-5448",,,,41,4,4,4,20,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0964-4016,1743-8934,2.021,30,7,1155,1173,,10.1080/09644016.2021.1899648,Environmental Studies; Political Science,Social Science Citation Index (SSCI),WOS:000630657200001,View Full Record in Web of Science
27,01/ago.,"Solorio, I; Ortega, J; Romero, R; Guzman, J","Solorio, Israel; Ortega, Joel; Romero, Raul; Guzman, Jorge",1,1,NPF,1,0,1,2,5,5,,,,México,México,México,Universidad Nacional Autonoma de Mexico; Universidad Nacional Autonoma de Mexico; Universidad Nacional Autonoma de Mexico,,AMLO's populism in Mexico and the framing of the extractivist agenda: The construction of the hegemony of the people without the indigenous voices,ZEITSCHRIFT FUR VERGLEICHENDE POLITIKWISSENSCHAFT,English,Article,Indigenous environmental movements; Latin American populism; Extractivism; Frame analysis; Populist frame,LATIN-AMERICA; NEO-EXTRACTIVISM; STATE; POLITICS; ENVIRONMENTALISM; NEOLIBERALISM; MOVEMENTS; ECUADOR; SOCIETY; ENERGY,"In Latin America, the relationship between populism and environmentalism is intrinsically linked to extractivism. The commodities boom that the region experienced during the early 2000s was accompanied by the resurgence of populism in the region and the emergence of socio-environmental conflicts led by indigenous environmental movements. Despite the fact that Latin American populism supposedly represents unprotected groups, there has been a general failure on the part of these governments to incorporate the visions and demands of the indigenous peoples. Andres Manuel Lopez Obrador (AMLO) assumed Mexico's presidency in 2018. In this context, his reliance on extractive industries as a lever for socioeconomic development and criticism towards neoliberalism has led many analysts to place him under the populist umbrella. AMLO has developed a discursive strategy consisting of dividing the political field into two antagonistic parts: 'the people', whose demands and interests are supposedly defended by his popular project and 'the conservatives', the corrupt elite. This article explores the way in which AMLO has reacted to the indigenous environmental movements and his discursive strategies to face the contradiction of constructing the hegemony of the people without incorporating indigenous voices. The article develops a frame analysis applied to AMLO's discourse on a large-scale energy project: Proyecto Integral Morelos (PIM). It concludes that, as with other populists in the region, AMLO has been shown to be incapable of articulating the indigenous environmental opposition into his national project.","[Solorio, Israel; Guzman, Jorge] Univ Nacl Autonoma Mexico, Sch Polit & Social Sci, Mexico City, DF, Mexico; [Ortega, Joel] Univ Nacl Autonoma Mexico, Ctr Interdisciplinary Res Sci & Humanities, Mexico City, DF, Mexico; [Romero, Raul] Univ Nacl Autonoma Mexico, Social Res Inst, Mexico City, DF, Mexico","Solorio, I (corresponding author), Univ Nacl Autonoma Mexico, Sch Polit & Social Sci, Mexico City, DF, Mexico.","Solorio, Israel/HKF-3177-2023","Solorio, Israel/0000-0001-9609-7916; Ortega Erreguerena, Joel Alejandro/0000-0002-8865-4951",National Autonomous University of Mexico (UNAM) [IA302721],National Autonomous University of Mexico (UNAM)(Universidad Nacional Autonoma de Mexico),"This article is result of the PAPIIT research grant IA302721 'AMLO's populist frame: a transversal study of the policy of the 4T (POPUL4T), funded by the National Autonomous University of Mexico (UNAM).",76,9,9,2,9,SPRINGER VIEWEG-SPRINGER FACHMEDIEN WIESBADEN GMBH,WIESBADEN,"ABRAHAM-LINCOLN STASSE 46, WIESBADEN, 65189, GERMANY",1865-2646,1865-2654,2.021,15,2,249,273,10.1007/s12286-021-00486-5,http://dx.doi.org/10.1007/s12286-021-00486-5,Political Science,Emerging Sources Citation Index (ESCI),Government & Law,Web of Science Record
30,"environment* AND ""advocacy coalition*""","van der Hoff, R.; Rajão, R.",56566638400;35183937500;,1,1,ACF,1,1,1,2,1,5,,A forma de funcionamento do mercado de certificados florestais - a formação de coalizões de defesa para a proteção de seus interesses ,,Brasil,Países Baixos,Brasil,Radboud University Nijmegen,,The politics of environmental market instruments: Coalition building and knowledge filtering in the regulation of forest certificates trading in Brazil,Land Use Policy,English,,Advocacy coalitions; Knowledge filters; Forest certificates; Brazilian forest code; Environmental protection; Market viability; Agricultural consolidation,,"Market instruments for environmental governance have a foundation in an economic theorythat claims to be universal and atemporal, but their materialization in practice always takes place in specific socioeconomic and political contexts. The Brazilian trade in forest certificates (CRA) is a new market instrument that allows farmers that have deforested illegally prior to 2008 to become compliant by acquiring certificates from other farmers that conserve a forest area beyond legal requirements. Even though the CRA market has been praised as an innovative environmental policy, it is still unclear whether it will be implemented even after more than two decades of political debate, congressional approval of legislation and substantial investments in new supporting systems. This research paper aims to analyze the materialization of this market by reconstructing how policy participants form advocacy coalitions (i.e. environmental protection, market viability and agricultural consolidation) to advance their interests. Our results show that advocacy coalitions filter (i.e. absorb, reject or transform) new ideas, experiences and knowledge in order to influence the regulations for forest certificate trading. In doing so, they often combine positions, form new alliances and merge with other advocacy coalitions in accordance with the interests of their constituents. These fluid allegiances within and between coalitions explain why market materialization remains ambiguous and unlikely to become operational in the near future. ","aNijmegen School of Management, Radboud University Nijmegen, Netherlands. bLaboratório de Gestão de Serviços Ambientais, Federal University of Minas Gerais, Brazil",,,,,,,,6,,,,,,,,,2.020,96,,,,10.1016/j.landusepol.2020.104666,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083383625&doi=10.1016%2fj.landusepol.2020.104666&partnerID=40&md5=383ed2750b6ef9cb446d593393902c10,,,,Scopus
31,"""environment*"" AND ""advocacy coalition"" (All Fields) OR ""environment*"" AND ""institutional analysis"" (All Fields) OR ""environment*"" AND ""Equilibrium"" (All Fields) OR ""environment*"" AND ""multiple streams"" (All Fields) OR ""environment*"" AND ""narrative"" (All Fields) and 6.27 Political Science (Citation Topics Meso) and BRAZIL or CHILE or ARGENTINA or ECUADOR or PERU (Countries/Regions)","Vieira, Diego Mota",,1,1,ACF,1,0,1,2,1,9,Uso do discurso como formador de coalizões para a resolução de políticas ambientais,Como o discurso pode resolver as articulações entre as coalizões em mudanças de políticas públicas no caso da hidrelética de Belo Monte,,Brasil,Brasil,Brasil,Universidade de Brasilia,Administração,The discourse and coordination among advocacy coalitions: the case of Belo Monte,RAUSP MANAGEMENT JOURNAL,English,Article,Critical discourse analysis; Advocacy coalition framework; Belo monte hydroelectric power plant,,"Purpose - This study aims to analyze the use of discourse to solve issues related to coordination between advocacy coalitions in processes of gradual and transformative institutional change related to public policies. Design/methodology/approach - Theoretical background is based on the advocacy coalition framework (ACF), new discursive institutionalism and critical discourse analysis theories. The research examines shorthand notes of public hearings held in the Brazilian Chamber of Deputies and the Federal Senate between 1999 and 2012, carrying out a case study on Belo Monte hydroelectric power plant. The speech extracts were categorized according to the modes of operation of ideology and typical strategies of symbolic construction proposed by Thompson (1995). Findings - The results suggest that the discourse can be an instrument of internal coordination and between coalitions that share beliefs about a policy, as in the case of Belo Monte. Potentially existing coalitions define their identities and set positions on controversial issues, aligning interests and expectations. In the case studied, the modes of operation of ideology verified as instruments of the coalitions were dissimulation, reification, fragmentation, unification and legitimation. Research limitations/implications - The paper represents a unique analysis of the modes of operation of ideology (Thompson, 1999) in the case of Belo Monte. In addition, the paper aims to contribute to the New Discursive Institutionalism and to the ACF when it uses the critical discourse analysis to articulate a method to analyze the use of the Discourse by the coalitions. In fact, such an approach integrating the ACF, the New Discursive Institutionalism and the critical discourse analysis is something original. Finally, it also addresses a gap in ACF: issues related to advocacy coalition coordination. Practical implications - Attentive readers linked to organizations working on infrastructure and environmental policies can benefit from the results by envisaging the deliberate manipulation of typical symbolic construction strategies and general modes of operation of ideology. Social implications - The study sheds light on the daily and behind-the-scenes disputes among stakeholders who are interested in a certain public policy. It may draw attention to the acres and professional use of the shorthand notes of the hearings held at the National Congress. Originality/value - This paper aims to fill a gap pointed out by Jenkins-Smith et al (2014) regarding problems of coordination of advocacy coalitions. In addition, it innovates by using critical discourse analysis as a methodological reference in ACF empirical studies. In addition. this work continues a trajectory of two other previously published studies dealing with the same phenomenon: a theoretical essay and a case study.","[Vieira, Diego Mota] Univ Brasilia, Brasilia, DF, Brazil",diegolmv@yahoo.com.br,"Mota Vieira, Diego/HLP-7803-2023",,,,,20,2,2,0,2,"UNIV SAO PAULO, FAC ECONOMIA",SAO PAULO SP,"TECSI LAB TECNOLOGIA E SISTEMAS INFORMACAO, AV PROF LUCIANO GUALBERTO., 908 FEA 3, SALA F184, SAO PAULO SP, 05508-900, BRAZIL",2531-0488,,2.020,55,1,86,99,,10.1108/RAUSP-10-2018.0096,Business; Management,Emerging Sources Citation Index (ESCI),WOS:000534534400007,View Full Record in Web of Science
32,"""environment*"" AND ""advocacy coalition"" (All Fields) OR ""environment*"" AND ""institutional analysis"" (All Fields) OR ""environment*"" AND ""Equilibrium"" (All Fields) OR ""environment*"" AND ""multiple streams"" (All Fields) OR ""environment*"" AND ""narrative"" (All Fields) and 6.27 Political Science (Citation Topics Meso) and BRAZIL or CHILE or ARGENTINA or ECUADOR or PERU (Countries/Regions)","Cisneros, Paul",,1,1,ACF,1,1,2,3,5,7,Processo de mudança nas políticas de mineração,"Processo de modificação das instituições para a administração dos efeitos da mineração - policy process, governança ambiental e acordos políticos",,Equador,Brasil,Argentina; Colombia; Costa Rica; Equador,Instituto de Altos Estudos Nacionais ,,A Comparative Study of the Introduction of Restrictions to Large-Scale Mining in Four Latin American Countries,REVIEW OF POLICY RESEARCH,English,Article,Latin America; Mining policy; policy change; prohibitions to mining; (sic)(sic)(sic)(sic); (sic)(sic); (sic)(sic)(sic)(sic); (sic)<SIC>(sic)<SIC>,ADVOCACY COALITION FRAMEWORK; UNDERSTANDING POLICY CHANGE; SOCIAL-CONFLICT; ARGENTINA; STATE; PARADIGMS; DYNAMICS; POLITICS,"Institutions are important to enhance the contribution of mining industries not only to economic growth, but also to environmental justice and equality. In this paper, we study the processes by which four Latin American countries modified their existing institutions to manage the effects or large-scale mining in their territories. We focus on the political struggles to introduce legislation to restrict the geographical expansion of large-scale mining in their territories. To this end, we integrate a leading theory of the policy process with theoretical insights from studies of environmental governance and political settlements. Our findings show that processes of policy change followed distinct paths with common elements. The elements that link the initial conditions with change are policy learning, challenges to dominant policy images, conflict expansion, and the involvement of veto players. We also observe that the outputs of the reforms diverge significantly. Three contextual variables contributed to the variability of the outputs of these reforms; the degree of cohesion of elites, the degree of development of environmental institutions, and the relative dependency on mineral revenues. During the processes of policy making, these institutions offered different opportunities and constraints for policy challengers to advance their agenda and for dominant actors to maintain the status quo. The new policy designs offer opportunities for countries to deal with the effects of mining on sensitive ecosystems but political instability threatens the long-term institutionalization of these reforms.","[Cisneros, Paul] Inst Altos Estudios Nacl, Ctr Gobierno & Adm Publ, Quito, Ecuador",pcisneros@ucdavis.edu,"Cisneros, Paul/H-4208-2019","Cisneros, Paul/0000-0003-0562-283X",,,,124,2,2,0,5,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1541-132X,1541-1338,2.020,37,5,687,712,,10.1111/ropr.12400,Political Science; Public Administration,Social Science Citation Index (SSCI),WOS:000578640700001,View Full Record in Web of Science
33,"""environment*"" AND ""advocacy coalition"" (All Fields) OR ""environment*"" AND ""institutional analysis"" (All Fields) OR ""environment*"" AND ""Equilibrium"" (All Fields) OR ""environment*"" AND ""multiple streams"" (All Fields) OR ""environment*"" AND ""narrative"" (All Fields) and 6.27 Political Science (Citation Topics Meso) and BRAZIL or CHILE or ARGENTINA or ECUADOR or PERU (Countries/Regions)","Maidana Capelari, Mauro Guilherme; Guimaraes de Araujo, Suely Mara Vaz; Du Pin Calmon, Paulo Carlos; Borinelli, Benilson",,1,1,ACF,1,1,1,2,1,9,Mudanças de políticas públicas,"Como funciona o processo de mudança institucional na política ambiental, especialmente em contextos de mudança em larga escala ocorridas nos ultimos anos no Brasil - 1. nova elite no poder com discurso antiambientalista, 2. calamidades ambientais, 3. captura de posições internas pelos membros da coalizão dominantes, 4. polarização e conflitos entre as coalizões",,Brasil,Brasil,Brasil,Universidade de Brasilia,,Large-scale environmental policy change: analysis of the Brazilian reality,Revista de Administração Pública,English,Article,environmental policy; policy change; advocacy coalition framework; Brazilian politics,ADVOCACY COALITION FRAMEWORK; ADVERSARIAL; CONFLICT; POWER; LIFE,"The Brazilian presidential elections of 2018 brought large-scale changes in the Brazilian environmental policy subsystem. The purpose of this article is to analyze these changes through the lenses of the Advocacy Coalition Framework - ACF. First, we introduced some of the main characteristics of this subsystem, then we presented a hemerographic analysis to describe and analyze the effects of four recent shocks in this subsystem. Two of these shocks were external: (i) the election of a new political elite in power that brought a clear discourse of denial of the relevance of environmental policy and (ii) calamitous environmental events that occurred in Brazil in 2019. The other two shocks were internal: (i) the capture of key positions and resources by dominant coalition members and (ii) the rise of conflict and polarization among the coalitions in the subsystem. The results showed: (i) the rise of a hyper-adversarial environmental policy subsystem; (ii) a realignment between non-dominant coalitions in a cooperative direction; (iii) the imposition of clear barriers to negotiation; (iv) changes in the use of scientific information by more politicized discourses with a high degree of bias. The article contributes to the understanding of the processes of institutional change in environmental policy, especially in contexts of large-scale change generated by increasing electoral polarization and fierce political disputes. It also contributes to the analysis of the limits and possibilities of the ACF in the Brazilian environmental agenda.","[Maidana Capelari, Mauro Guilherme] Univ Brasilia, Ctr Sustainable Dev, Brasilia, DF, Brazil; [Guimaraes de Araujo, Suely Mara Vaz] Univ Brasilia, Braziliense Inst Publ Law, Brasilia, DF, Brazil; [Guimaraes de Araujo, Suely Mara Vaz; Du Pin Calmon, Paulo Carlos] Univ Brasilia, Inst Polit Sci, Brasilia, DF, Brazil; [Borinelli, Benilson] Univ Estadual Londrina, Dept Adm, Londrina, Parana, Brazil",capelari.unb@gmail.com; suelymvg@gmail.com; paulo.calmon@gmail.com; benilson@uel.br,"Calmon, Paulo/B-9810-2015","Calmon, Paulo/0000-0001-6314-9564; Borinelli, Benilson/0000-0002-7256-7618; Araujo, Suely/0000-0003-2363-771X; Maidana Capelari, Mauro Guilherme/0000-0002-1259-9909",,,,91,7,8,3,7,"FUNDACAO GETULIO VARGAS, EDITORA",RIO DE JANEIRO RJ,"PRAIA BOTAFOGO-190, SAIA 538 5 ANDAR, RIO DE JANEIRO RJ, 22250-900, BRAZIL",0034-7612,1982-3134,2.020,54,6,1691,1710,,10.1590/0034-761220190445x,Public Administration,Emerging Sources Citation Index (ESCI),WOS:000599846000013,View Full Record in Web of Science
34,environmental politics ou política ambiental,"Madariaga, A; Allain, M","Madariaga, Aldo; Allain, Mathilde",1,1,ACF,1,1,1,2,5,4,,Papel dos movimentos sociais e das organizações sociais para a formação de coalizões para o avanço das energias sustentáveis,,Chile,Chile,Chile,Universidade Diego Portales,,Contingent Coalitions in Environmental Policymaking: How Civil Society Organizations Influenced the Chilean Renewable Energy Boom,POLICY STUDIES JOURNAL,English,Article,Chile; coalitions; environmental politics; renewable energy; social movements,POLITICS; POWER; EMERGENCE; MARKET,"This article analyzes the role of social movements and environmental organizations in crafting contingent coalitions to advance renewable energies in Chile. Until recently, Chile presented several conditions predicting the continuation of an arm's-length energy policy and a deregulated energy market heavily concentrated on environmentally and socially unfriendly sources. However, gradual but transformative policy change in the last decade has made the country a world leader in renewable energy development. Studying two key moments in energy policy reform, we argue that the contingency of the coalitions that social movements and environmental organizations forged was crucial to the advancement of renewable energy policy and the transformation of the energy sector in the country. The paper advances our understanding of policy change in contexts of high path dependency and status quo bias, and builds the concept of contingent coalitions, unifying similar but scattered and under-theorized notions that capture the fluid dynamics of coalition formation and policy change in environmental policymaking.","[Madariaga, Aldo] Ctr Invest & Docencia Econ CIDE, Programa Interdisciplinario Polit & Pract Educat, Mexico City, DF, Mexico; [Madariaga, Aldo] Univ Mayor, Ctr Econ & Polit Sociales CEAS, Providencia, Chile; [Allain, Mathilde] Ctr Social Conflict & Cohes Studies COES, Providencia, Chile; [Allain, Mathilde] Univ Bordeaux, Ctr Emile Durkheim, Bordeaux, France","Madariaga, A (autor correspondente), Ctr Invest & Docencia Econ CIDE, Programa Interdisciplinario Polit & Pract Educat, Mexico City, DF, Mexico.;Madariaga, A (autor correspondente), Univ Mayor, Ctr Econ & Polit Sociales CEAS, Providencia, Chile.",,"Madariaga, Aldo/0000-0002-1219-8355",Center for Social Conflict and Cohesion Studies (COES) [CONICYT/FONDAP/15130009],Center for Social Conflict and Cohesion Studies (COES),"The authors would like to thank Matt Amengual, participants in our panel at the SASE 2017 Annual Conference, and four anonymous reviewers for their valuable comments and suggestions. The authors also acknowledge financial support from the Center for Social Conflict and Cohesion Studies (COES) (CONICYT/FONDAP/15130009).",60,9,9,3,14,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0190-292X,1541-0072,2.020,48,3,672,699,10.1111/psj.12298,http://dx.doi.org/10.1111/psj.12298,Political Science; Public Administration,Social Science Citation Index (SSCI),Government & Law; Public Administration,View Full Record in Web of Science
